epoch,step,train_loss,val_loss,val_r_square
0,1223,,1.0413360595703125,0.015510817058384418
0,1223,1.348732829093933,,
1,2447,,1.0434517860412598,0.013510528020560741
1,2447,1.3076515197753906,,
2,3671,,1.0412079095840454,0.015631943941116333
2,3671,1.3078871965408325,,
3,4895,,1.037806749343872,0.018847452476620674
3,4895,1.3088880777359009,,
4,6119,,1.0415997505187988,0.015261574648320675
4,6119,1.3085728883743286,,
5,7343,,1.038852572441101,0.017858758568763733
5,7343,1.3077012300491333,,
6,8567,,1.0394086837768555,0.017333049327135086
6,8567,1.3068548440933228,,
7,9791,,1.0375497341156006,0.01909044198691845
7,9791,1.3064281940460205,,
8,11015,,1.0383652448654175,0.01831953600049019
8,11015,1.3062196969985962,,
9,12239,,1.0382318496704102,0.018445629626512527
9,12239,1.3056138753890991,,
10,13463,,1.0381300449371338,0.018541831523180008
10,13463,1.3054746389389038,,
11,14687,,1.0392802953720093,0.0174543596804142
11,14687,1.3051483631134033,,
12,15911,,1.0388970375061035,0.01781691238284111
12,15911,1.3051373958587646,,
13,17135,,1.0394937992095947,0.01725248247385025
13,17135,1.3048162460327148,,
14,18359,,1.0378793478012085,0.018778841942548752
14,18359,1.3029361963272095,,
15,19583,,1.0376734733581543,0.01897336170077324
15,19583,1.302535057067871,,
16,20807,,1.0384212732315063,0.018266653642058372
16,20807,1.30244779586792,,
17,22031,,1.0377975702285767,0.01885628141462803
17,22031,1.3020555973052979,,
18,23255,,1.039708137512207,0.01705005392432213
18,23255,1.3019957542419434,,
19,24479,,1.039025902748108,0.01769486628472805
19,24479,1.3016743659973145,,
20,25703,,1.0388002395629883,0.017908239737153053
20,25703,1.3004472255706787,,
21,26927,,1.0378001928329468,0.018853798508644104
21,26927,1.3002605438232422,,
22,28151,,1.038958191871643,0.017759062349796295
22,28151,1.3000341653823853,,
23,29375,,1.037695050239563,0.01895303651690483
23,29375,1.3001266717910767,,
24,30599,,1.0387061834335327,0.017997175455093384
24,30599,1.299658179283142,,
25,31823,,1.037407398223877,0.019225088879466057
25,31823,1.299560546875,,
26,33047,,1.0380855798721313,0.018583955243229866
26,33047,1.2994384765625,,
27,34271,,1.038690209388733,0.018012259155511856
27,34271,1.2996480464935303,,
28,35495,,1.0388171672821045,0.017892329022288322
28,35495,1.2993745803833008,,
29,36719,,1.0385593175888062,0.018136052414774895
29,36719,1.2993932962417603,,
30,37943,,1.038726806640625,0.017977677285671234
30,37943,1.2992241382598877,,
31,39167,,1.0381014347076416,0.018568962812423706
31,39167,1.299291968345642,,
32,40391,,1.039727807044983,0.017031382769346237
32,40391,1.298452615737915,,
33,41615,,1.0389310121536255,0.01778462901711464
33,41615,1.2980307340621948,,
34,42839,,1.0385750532150269,0.018121061846613884
34,42839,1.2981910705566406,,
35,44063,,1.0395941734313965,0.0171576589345932
35,44063,1.2981657981872559,,
36,45287,,1.0382930040359497,0.018387870863080025
36,45287,1.2978429794311523,,
37,46511,,1.038390040397644,0.01829608343541622
37,46511,1.2981234788894653,,
38,47735,,1.0379830598831177,0.01868079975247383
38,47735,1.29720938205719,,
39,48959,,1.0383843183517456,0.01830141805112362
39,48959,1.2970703840255737,,
40,50183,,1.0375714302062988,0.01907002367079258
40,50183,1.297194242477417,,
41,51407,,1.0380480289459229,0.018619364127516747
41,51407,1.297135353088379,,
42,52631,,1.0384082794189453,0.01827879250049591
42,52631,1.2971975803375244,,
43,53855,,1.0380549430847168,0.018612924963235855
43,53855,1.2972081899642944,,
44,55079,,1.0378892421722412,0.018769552931189537
44,55079,1.2969226837158203,,
45,56303,,1.0380058288574219,0.018659278750419617
45,56303,1.2969317436218262,,
46,57527,,1.038291573524475,0.018389157950878143
46,57527,1.2969319820404053,,
47,58751,,1.0382736921310425,0.018406081944704056
47,58751,1.2968788146972656,,
48,59975,,1.0381836891174316,0.01849115453660488
48,59975,1.2966456413269043,,
49,61199,,1.0382952690124512,0.018385479226708412
49,61199,1.296762228012085,,
50,62423,,1.0384323596954346,0.01825607568025589
50,62423,1.2963982820510864,,
