Epoch 37: {'val_loss': '1.36762', 'val_r_square': '0.00640', 'train_loss': '0.92572'}
Epoch 0: {'val_loss': '1.44398', 'val_r_square': '0.00311', 'train_loss': '1.16378'}
Epoch 1: {'val_loss': '1.49083', 'val_r_square': '0.00419', 'train_loss': '0.99466'}
Epoch 2: {'val_loss': '1.27837', 'val_r_square': '0.00266', 'train_loss': '0.97663'}
Epoch 3: {'val_loss': '1.30116', 'val_r_square': '0.00359', 'train_loss': '0.97300'}
Epoch 4: {'val_loss': '1.25354', 'val_r_square': '0.00438', 'train_loss': '0.97790'}
Epoch 5: {'val_loss': '1.36612', 'val_r_square': '0.00383', 'train_loss': '0.96268'}
Epoch 6: {'val_loss': '1.43062', 'val_r_square': '0.00367', 'train_loss': '0.95920'}
Epoch 7: {'val_loss': '1.45542', 'val_r_square': '0.00403', 'train_loss': '0.95623'}
Epoch 8: {'val_loss': '1.38160', 'val_r_square': '0.00549', 'train_loss': '0.95527'}
Epoch 9: {'val_loss': '1.48864', 'val_r_square': '0.00452', 'train_loss': '0.95358'}
Epoch 10: {'val_loss': '1.31787', 'val_r_square': '0.00502', 'train_loss': '0.95197'}
Epoch 11: {'val_loss': '1.37785', 'val_r_square': '0.00441', 'train_loss': '0.94716'}
Epoch 12: {'val_loss': '1.31136', 'val_r_square': '0.00585', 'train_loss': '0.94640'}
Epoch 13: {'val_loss': '1.37842', 'val_r_square': '0.00626', 'train_loss': '0.94584'}
Epoch 14: {'val_loss': '1.30828', 'val_r_square': '0.00580', 'train_loss': '0.94521'}
Epoch 15: {'val_loss': '1.48535', 'val_r_square': '0.00255', 'train_loss': '0.94456'}
Epoch 16: {'val_loss': '1.37721', 'val_r_square': '0.00386', 'train_loss': '0.94387'}
Epoch 17: {'val_loss': '1.38128', 'val_r_square': '0.00334', 'train_loss': '0.94093'}
Epoch 18: {'val_loss': '1.38560', 'val_r_square': '0.00348', 'train_loss': '0.94039'}
Epoch 19: {'val_loss': '1.38371', 'val_r_square': '0.00339', 'train_loss': '0.93984'}
Epoch 20: {'val_loss': '1.30318', 'val_r_square': '0.00469', 'train_loss': '0.93963'}
Epoch 21: {'val_loss': '1.36435', 'val_r_square': '0.00436', 'train_loss': '0.93898'}
Epoch 22: {'val_loss': '1.34786', 'val_r_square': '0.00548', 'train_loss': '0.93880'}
Epoch 23: {'val_loss': '1.38468', 'val_r_square': '0.00482', 'train_loss': '0.93665'}
Epoch 24: {'val_loss': '1.40035', 'val_r_square': '0.00473', 'train_loss': '0.93627'}
Epoch 25: {'val_loss': '1.39633', 'val_r_square': '0.00402', 'train_loss': '0.93604'}
Epoch 26: {'val_loss': '1.36521', 'val_r_square': '0.00461', 'train_loss': '0.93593'}
Epoch 27: {'val_loss': '1.37003', 'val_r_square': '0.00485', 'train_loss': '0.93550'}
Epoch 28: {'val_loss': '1.34242', 'val_r_square': '0.00338', 'train_loss': '0.93544'}
Epoch 29: {'val_loss': '1.37335', 'val_r_square': '0.00358', 'train_loss': '0.93411'}
Epoch 0: {'val_loss': '1.37835', 'val_r_square': '0.00436', 'train_loss': '1.12597'}
Epoch 1: {'val_loss': '1.43136', 'val_r_square': '0.00395', 'train_loss': '0.98049'}
Epoch 2: {'val_loss': '1.39200', 'val_r_square': '0.00398', 'train_loss': '0.95670'}
Epoch 3: {'val_loss': '1.35434', 'val_r_square': '0.00488', 'train_loss': '0.95687'}
Epoch 4: {'val_loss': '1.25571', 'val_r_square': '0.00571', 'train_loss': '0.95797'}
Epoch 5: {'val_loss': '1.37716', 'val_r_square': '0.00218', 'train_loss': '0.95562'}
Epoch 6: {'val_loss': '1.37200', 'val_r_square': '0.00488', 'train_loss': '0.95249'}
