epoch,step,train_loss,val_loss,val_r_square
0,1226,,1.0422917604446411,0.014607196673750877
0,1226,1.3595198392868042,,
1,2453,,1.0416350364685059,0.01522818859666586
1,2453,1.3177794218063354,,
2,3680,,1.041873812675476,0.015002398751676083
2,3680,1.3182432651519775,,
3,4907,,1.0409468412399292,0.015878794714808464
3,4907,1.3193957805633545,,
4,6134,,1.0387450456619263,0.017960479483008385
4,6134,1.3189787864685059,,
5,7361,,1.039031744003296,0.01768934726715088
5,7361,1.3179683685302734,,
6,8588,,1.0391463041305542,0.01758100464940071
6,8588,1.3173754215240479,,
7,9815,,1.0400750637054443,0.01670304499566555
7,9815,1.3167328834533691,,
8,11042,,1.0398287773132324,0.01693573221564293
8,11042,1.3158957958221436,,
9,12269,,1.0393012762069702,0.017434585839509964
9,12269,1.3156578540802002,,
10,13496,,1.0392441749572754,0.01748848147690296
10,13496,1.3151196241378784,,
11,14723,,1.0382566452026367,0.01842217706143856
11,14723,1.3128232955932617,,
12,15950,,1.0385271310806274,0.018166404217481613
12,15950,1.3123286962509155,,
13,17177,,1.0387852191925049,0.017922494560480118
13,17177,1.3118319511413574,,
14,18404,,1.0387256145477295,0.01797887310385704
14,18404,1.3115143775939941,,
15,19631,,1.0400972366333008,0.016682075336575508
15,19631,1.3114625215530396,,
16,20858,,1.0385929346084595,0.018104230985045433
16,20858,1.311152696609497,,
17,22085,,1.0391613245010376,0.01756693236529827
17,22085,1.3108885288238525,,
18,23312,,1.038583755493164,0.018112968653440475
18,23312,1.3094099760055542,,
19,24539,,1.038446307182312,0.01824292354285717
19,24539,1.3087642192840576,,
20,25766,,1.0376688241958618,0.018977869302034378
20,25766,1.3088806867599487,,
21,26993,,1.038148283958435,0.01852463372051716
21,26993,1.3086563348770142,,
22,28220,,1.0398426055908203,0.01692267321050167
22,28220,1.3085346221923828,,
23,29447,,1.0395973920822144,0.017154624685645103
23,29447,1.3080891370773315,,
24,30674,,1.0400420427322388,0.01673431508243084
24,30674,1.30855393409729,,
25,31901,,1.0392749309539795,0.017459509894251823
25,31901,1.3082106113433838,,
26,33128,,1.0391236543655396,0.017602434381842613
26,33128,1.3080105781555176,,
27,34355,,1.039992332458496,0.016781220212578773
27,34355,1.3070944547653198,,
28,35582,,1.0398579835891724,0.016908416524529457
28,35582,1.306768774986267,,
29,36809,,1.039798617362976,0.01696433499455452
29,36809,1.3067208528518677,,
30,38036,,1.0400506258010864,0.01672612875699997
30,38036,1.3063113689422607,,
31,39263,,1.0408509969711304,0.01596938818693161
31,39263,1.3063725233078003,,
32,40490,,1.040252447128296,0.016535287722945213
32,40490,1.306430459022522,,
33,41717,,1.039864420890808,0.01690216362476349
33,41717,1.3057388067245483,,
34,42944,,1.04035222530365,0.016440926119685173
34,42944,1.3060250282287598,,
35,44171,,1.0400429964065552,0.016733486205339432
35,44171,1.3057526350021362,,
36,45398,,1.0398238897323608,0.016940422356128693
36,45398,1.3055307865142822,,
37,46625,,1.0400339365005493,0.016741948202252388
37,46625,1.3054835796356201,,
38,47852,,1.0401254892349243,0.01665531098842621
38,47852,1.3054592609405518,,
39,49079,,1.0398139953613281,0.01694989576935768
39,49079,1.3051328659057617,,
40,50306,,1.0398778915405273,0.01688947156071663
40,50306,1.3050475120544434,,
41,51533,,1.0402348041534424,0.01655193604528904
41,51533,1.3051073551177979,,
42,52760,,1.0399842262268066,0.016788853332400322
42,52760,1.3050801753997803,,
43,53987,,1.0395458936691284,0.017203370109200478
43,53987,1.3051007986068726,,
44,55214,,1.0402109622955322,0.0165745597332716
44,55214,1.305129885673523,,
45,56441,,1.0402017831802368,0.01658320613205433
45,56441,1.3047852516174316,,
