epoch,step,train_loss,val_loss,val_r_square
0,1226,,1.0442969799041748,0.012711571529507637
0,1226,1.3630530834197998,,
1,2453,,1.0393580198287964,0.017380965873599052
1,2453,1.3171385526657104,,
2,3680,,1.042061686515808,0.014824801124632359
2,3680,1.317253589630127,,
3,4907,,1.0405223369598389,0.0162801593542099
3,4907,1.3184564113616943,,
4,6134,,1.038981556892395,0.017736803740262985
4,6134,1.3180011510849,,
5,7361,,1.0374964475631714,0.019140934571623802
5,7361,1.3168929815292358,,
6,8588,,1.0371508598327637,0.019467616453766823
6,8588,1.3162193298339844,,
7,9815,,1.0383707284927368,0.018314385786652565
7,9815,1.3155041933059692,,
8,11042,,1.0360785722732544,0.020481327548623085
8,11042,1.315002202987671,,
9,12269,,1.0383703708648682,0.018314754590392113
9,12269,1.314522385597229,,
10,13496,,1.0367549657821655,0.01984184980392456
10,13496,1.3145207166671753,,
11,14723,,1.0372405052185059,0.019382819533348083
11,14723,1.3139086961746216,,
12,15950,,1.037667155265808,0.018979523330926895
12,15950,1.313689947128296,,
13,17177,,1.0375701189041138,0.019071219488978386
13,17177,1.313450574874878,,
14,18404,,1.0374362468719482,0.019197864457964897
14,18404,1.3135367631912231,,
15,19631,,1.0369700193405151,0.01963850110769272
15,19631,1.31105375289917,,
16,20858,,1.0386416912078857,0.018058152869343758
16,20858,1.3107205629348755,,
17,22085,,1.0368908643722534,0.01971345767378807
17,22085,1.3105744123458862,,
18,23312,,1.037222981452942,0.01939946599304676
18,23312,1.3104842901229858,,
19,24539,,1.0367732048034668,0.019824650138616562
19,24539,1.3101593255996704,,
20,25766,,1.0378068685531616,0.01884726993739605
20,25766,1.3101558685302734,,
21,26993,,1.0367109775543213,0.019883420318365097
21,26993,1.3085203170776367,,
22,28220,,1.035744309425354,0.020797433331608772
22,28220,1.3081035614013672,,
23,29447,,1.0365482568740845,0.020037289708852768
23,29447,1.3079862594604492,,
24,30674,,1.0365070104599,0.020076284185051918
24,30674,1.308150291442871,,
25,31901,,1.0352590084075928,0.021256279200315475
25,31901,1.3078521490097046,,
26,33128,,1.037153959274292,0.019464673474431038
26,33128,1.307876706123352,,
27,34355,,1.0375587940216064,0.019081979990005493
27,34355,1.3075593709945679,,
28,35582,,1.0357056856155396,0.02083403803408146
28,35582,1.3072787523269653,,
29,36809,,1.0367017984390259,0.01989215798676014
29,36809,1.3073667287826538,,
30,38036,,1.036184549331665,0.020381171256303787
30,38036,1.3074477910995483,,
31,39263,,1.0362340211868286,0.020334357395768166
31,39263,1.3072845935821533,,
32,40490,,1.0354704856872559,0.02105633355677128
32,40490,1.3061926364898682,,
33,41717,,1.0362355709075928,0.020332977175712585
33,41717,1.306182622909546,,
34,42944,,1.0356786251068115,0.02085951529443264
34,42944,1.3059499263763428,,
35,44171,,1.0368436574935913,0.019758062437176704
35,44171,1.3058592081069946,,
36,45398,,1.036299228668213,0.020272735506296158
36,45398,1.3056083917617798,,
37,46625,,1.0358281135559082,0.020718062296509743
37,46625,1.3055931329727173,,
38,47852,,1.0369032621383667,0.019701683893799782
38,47852,1.304979920387268,,
39,49079,,1.0363367795944214,0.020237235352396965
39,49079,1.304898738861084,,
40,50306,,1.036372423171997,0.02020348235964775
40,50306,1.3047497272491455,,
41,51533,,1.0363943576812744,0.020182879641652107
41,51533,1.305021047592163,,
42,52760,,1.0358941555023193,0.020655613392591476
42,52760,1.3050683736801147,,
43,53987,,1.0360703468322754,0.020489145070314407
43,53987,1.3046973943710327,,
44,55214,,1.0360333919525146,0.020524093881249428
44,55214,1.3042200803756714,,
45,56441,,1.036173939704895,0.020391102880239487
45,56441,1.3046931028366089,,
46,57668,,1.0363247394561768,0.020248640328645706
46,57668,1.3044764995574951,,
47,58895,,1.036259412765503,0.020310260355472565
47,58895,1.3045555353164673,,
48,60122,,1.0359174013137817,0.020633723586797714
48,60122,1.304301381111145,,
49,61349,,1.0358903408050537,0.02065938524901867
49,61349,1.304411768913269,,
50,62576,,1.0363751649856567,0.020200815051794052
50,62576,1.3041999340057373,,
