epoch,step,train_loss,val_loss,val_r_square
0,1222,,1.0427687168121338,0.014156443998217583
0,1222,1.3583048582077026,,
1,2445,,1.0421062707901,0.014782678335905075
1,2445,1.3040270805358887,,
2,3668,,1.0407136678695679,0.016099251806735992
2,3668,1.304467797279358,,
3,4891,,1.0405008792877197,0.016300484538078308
3,4891,1.3055169582366943,,
4,6114,,1.0389069318771362,0.01780734769999981
4,6114,1.3055379390716553,,
5,7337,,1.0384079217910767,0.01827925257384777
5,7337,1.3044064044952393,,
6,8560,,1.0393496751785278,0.017388785257935524
6,8560,1.303801417350769,,
7,9783,,1.039075255393982,0.01764814369380474
7,9783,1.3031543493270874,,
8,11006,,1.038232445716858,0.018444985151290894
8,11006,1.3026272058486938,,
9,12229,,1.0376895666122437,0.018958278000354767
9,12229,1.3019739389419556,,
10,13452,,1.0380330085754395,0.01863361895084381
10,13452,1.3015310764312744,,
11,14675,,1.0387394428253174,0.01796572096645832
11,14675,1.3010976314544678,,
12,15898,,1.039103388786316,0.017621563747525215
12,15898,1.300816297531128,,
13,17121,,1.0389997959136963,0.017719697207212448
13,17121,1.3008012771606445,,
14,18344,,1.0383751392364502,0.01831015571951866
14,18344,1.3005143404006958,,
15,19567,,1.0375049114227295,0.019132841378450394
15,19567,1.3003642559051514,,
16,20790,,1.0385243892669678,0.01816897839307785
16,20790,1.300046443939209,,
17,22013,,1.0379263162612915,0.018734419718384743
17,22013,1.2999608516693115,,
18,23236,,1.0364859104156494,0.020096242427825928
18,23236,1.2997658252716064,,
19,24459,,1.036918044090271,0.019687704741954803
19,24459,1.2995024919509888,,
20,25682,,1.037176251411438,0.019443612545728683
20,25682,1.2996079921722412,,
21,26905,,1.0374681949615479,0.019167790189385414
21,26905,1.2992775440216064,,
22,28128,,1.03994882106781,0.016822239384055138
22,28128,1.2991575002670288,,
23,29351,,1.0376265048980713,0.01901787705719471
23,29351,1.2990802526474,,
24,30574,,1.0381139516830444,0.018557099625468254
24,30574,1.2991586923599243,,
25,31797,,1.037683129310608,0.018964441493153572
25,31797,1.2969651222229004,,
26,33020,,1.038826823234558,0.01788313128054142
26,33020,1.2967194318771362,,
27,34243,,1.0386450290679932,0.018054934218525887
27,34243,1.296679139137268,,
28,35466,,1.038039207458496,0.01862773299217224
28,35466,1.2965710163116455,,
29,36689,,1.0375497341156006,0.01909053325653076
29,36689,1.296149492263794,,
30,37912,,1.038818359375,0.01789122447371483
30,37912,1.2964670658111572,,
31,39135,,1.039028525352478,0.017692381516098976
31,39135,1.294549584388733,,
32,40358,,1.0376532077789307,0.018992584198713303
32,40358,1.2944766283035278,,
33,41581,,1.0392171144485474,0.017514141276478767
33,41581,1.2947453260421753,,
34,42804,,1.038901686668396,0.01781240478157997
34,42804,1.294156551361084,,
35,44027,,1.0380345582962036,0.01863214746117592
35,44027,1.2943352460861206,,
36,45250,,1.0393987894058228,0.0173423383384943
36,45250,1.2940263748168945,,
37,46473,,1.0387086868286133,0.017994876950979233
37,46473,1.2929280996322632,,
38,47696,,1.0390431880950928,0.01767849549651146
38,47696,1.2928175926208496,,
39,48919,,1.0390968322753906,0.01762772724032402
39,48919,1.2931872606277466,,
40,50142,,1.0383005142211914,0.018380697816610336
40,50142,1.293021321296692,,
41,51365,,1.0396243333816528,0.017129240557551384
41,51365,1.2927296161651611,,
42,52588,,1.0383830070495605,0.018302705138921738
42,52588,1.2926533222198486,,
43,53811,,1.038938283920288,0.0177778247743845
43,53811,1.2921535968780518,,
